T_r_z,TC_3.7_-1.4,TC_3.7_-4.0,TC_3.7_-8.0,TC_11.1_-1.4,TC_11.1_-4.0,TC_13.0_0.0,TC_13.2_-1.0
sec,deg_C,deg_C,deg_C,deg_C,deg_C,deg_C,deg_C
-60,16.3,16.2,16.3,16.3,16.3,14.6,16.1
-50,16.4,16.3,16.3,16.3,16.3,14.6,16.0
-40,16.3,16.2,16.3,16.3,16.3,14.6,15.9
-30,16.3,16.2,16.3,16.3,16.3,14.5,16.0
-20,16.3,16.2,16.3,16.3,16.3,14.6,15.9
-10,16.3,16.2,16.3,16.3,16.3,14.4,16.0
0,16.5,16.3,16.4,16.5,16.4,27.6,16.2
10,17.9,17.1,16.8,17.4,16.9,49.3,17.5
20,18.7,17.3,16.8,18.1,17.1,52.6,17.6
30,19.0,17.4,16.8,18.4,17.2,53.6,17.4
40,19.0,17.5,16.9,18.8,17.1,na,18.6
50,19.8,17.3,16.8,19.3,17.2,na,20.4
60,20.8,17.1,16.9,19.7,17.4,na,21.0
70,20.8,17.2,16.9,20.1,17.5,55.2,21.5
80,21.9,17.3,17.0,20.8,17.6,55.2,23.3
90,22.6,17.3,17.0,21.5,17.6,55.4,24.7
100,23.1,17.4,17.1,22.0,17.7,55.6,25.5
110,23.9,17.4,17.1,22.5,17.8,55.8,26.2
120,24.5,17.6,17.2,23.1,17.9,56.0,27.2
130,25.0,17.5,17.3,23.7,18.0,56.1,28.1
140,25.8,17.8,17.3,24.1,18.0,56.1,28.8
150,26.4,17.8,17.3,24.6,18.1,56.1,29.4
160,26.7,17.8,17.4,25.1,18.1,56.2,29.9
170,27.4,18.1,17.4,25.6,18.2,56.2,30.5
180,28.0,18.0,17.5,26.1,18.3,56.4,31.3
190,28.4,18.4,17.6,26.6,18.4,56.4,31.9
200,28.9,18.5,17.6,27.1,18.4,56.5,32.4
210,29.5,18.5,17.7,27.5,18.5,56.4,32.8
220,29.8,18.6,17.7,27.9,18.6,56.5,33.5
230,30.3,18.6,17.8,28.3,18.7,56.6,34.0
240,30.7,18.7,17.8,28.7,18.8,56.6,34.4
250,31.0,18.8,17.9,29.1,18.8,56.5,34.7
260,31.5,18.9,17.9,29.4,18.9,56.5,35.2
270,31.8,19.1,18.0,29.7,19.0,56.5,35.7
280,32.2,19.0,17.9,30.2,19.1,56.5,35.9
290,32.7,19.0,18.0,30.5,19.2,56.5,36.4
300,32.8,19.3,18.1,30.9,19.3,56.6,36.8
310,33.3,19.4,18.1,31.1,19.3,56.6,37.2
320,33.5,19.5,18.1,31.5,19.4,56.6,37.5
330,33.8,19.5,18.2,31.7,19.5,56.6,37.9
340,34.2,19.6,18.2,32.0,19.5,56.6,38.2
350,34.4,19.5,18.2,32.4,19.6,56.6,38.4
360,34.8,19.8,18.4,32.7,19.7,56.6,38.7
370,35.0,19.8,18.3,32.9,19.8,56.6,39.0
380,35.3,20.0,18.4,33.2,19.9,56.6,39.1
390,35.6,20.0,18.4,33.4,20.0,56.7,39.5
400,35.9,20.2,18.4,33.7,20.1,56.7,39.6
410,36.1,20.3,18.5,34.0,20.2,56.7,39.9
420,36.4,20.3,18.5,34.2,20.3,56.7,40.3
430,36.6,20.3,18.6,34.5,20.3,56.7,40.7
440,36.9,20.5,18.6,34.7,20.4,56.7,40.8
450,37.1,20.6,18.7,35.0,20.5,56.7,41.0
460,37.3,20.7,18.7,35.2,20.6,56.7,41.2
470,37.6,20.7,18.8,35.5,20.7,56.7,41.5
480,37.8,20.8,18.8,35.6,20.8,56.7,41.6
490,38.0,20.8,18.8,35.8,20.8,56.7,41.8
