T_r_z,TC_13.0_0,TC_3.7_-1.4,TC_3.7_-4.0,TC_3.7_-8.0,TC_11.1_-1.4,TC_11.1_-4.0,TC_13.2_-1.0
sec,deg_C,deg_C,deg_C,deg_C,deg_C,deg_C,deg_C
-60,19.1,19.6,19.5,19.5,19.5,19.5,19.3
-50,19.1,19.6,19.5,19.5,19.5,19.5,19.3
-40,19.1,19.5,19.5,19.5,19.5,19.5,19.3
-30,19.0,19.5,19.5,19.5,19.5,19.4,19.3
-20,19.1,19.5,19.5,19.5,19.5,19.4,19.3
-10,19.1,19.5,19.5,19.5,19.5,19.5,19.3
0,31.1,19.5,19.5,19.5,19.5,19.5,19.3
10,61.9,19.7,19.6,19.5,19.6,19.5,19.4
20,69.5,19.9,19.7,19.5,19.7,19.6,19.5
30,71.4,20.1,19.7,19.6,19.8,19.6,20.0
40,72.3,20.3,19.7,19.6,19.9,19.6,20.6
50,74.6,20.5,19.7,19.6,20.1,19.6,21.3
60,75.5,20.9,19.8,19.6,20.4,19.6,22.0
70,76.1,21.6,19.8,19.6,20.8,19.6,23.3
80,75.9,22.2,19.8,19.6,21.2,19.7,24.8
90,76.5,22.6,19.8,19.6,21.7,19.7,25.7
100,76.5,23.3,19.8,19.6,22.1,19.7,26.9
110,76.8,24.0,19.9,19.6,22.6,19.7,27.9
120,77.6,24.6,19.9,19.6,23.1,19.8,29.2
130,77.8,25.2,19.9,19.6,23.6,19.8,30.3
140,77.4,25.8,19.9,19.6,24.1,19.8,30.8
150,77.2,26.4,19.9,19.6,24.6,19.8,31.5
160,77.4,26.9,19.9,19.6,25.1,19.8,32.0
170,77.1,27.5,19.9,19.6,25.6,19.8,32.9
180,77.1,28.0,20.0,19.6,26.1,19.9,33.5
190,76.9,28.5,20.0,19.6,26.5,19.9,33.8
200,77.5,29.0,20.0,19.7,26.9,19.9,34.6
210,78.1,29.5,20.0,19.7,27.3,19.9,35.5
220,77.7,29.9,20.0,19.7,27.7,20.0,35.9
230,77.6,30.4,20.1,19.7,28.1,20.0,36.3
240,77.9,30.6,20.1,19.7,28.4,20.0,37.4
250,77.6,31.1,20.1,19.7,28.8,20.0,37.5
260,77.6,31.5,20.1,19.7,29.1,20.0,37.4
270,77.3,31.9,20.1,19.7,29.5,20.1,38.1
280,77.3,32.2,20.1,19.7,29.8,20.1,38.6
290,77.2,32.6,20.2,19.7,30.1,20.1,38.9
300,77.1,32.9,20.2,19.7,30.4,20.1,39.3
