T_r_z,TC_-0.8_1.0,TC_-3.3_1.0,TC_-6.8_1.0,TC_-0.9_13.0,TC_-3.5_13.0
sec,deg_C,deg_C,deg_C,deg_C,deg_C
-60,17.9,17.9,17.8,17.7,18
-50,17.9,17.9,17.8,17.7,18
-40,17.8,18,17.7,17.7,18
-30,17.9,17.9,17.8,17.6,17.9
-20,18.3,18.2,18.1,18,18.3
-10,18.3,18.2,18.1,18,18.4
0,17.9,17.9,17.8,17.7,18
10,18.1,17.9,17.8,17.9,18
20,20.4,18.1,18,18.4,18.1
30,22.7,18.2,18,19.1,18.2
40,24.9,18.2,17.9,20,18.2
50,26.1,18,17.9,20.4,18.1
60,28,18.4,18.3,21.6,18.4
70,29.3,18.3,18.1,22,18.2
80,31.4,18.3,18.1,22.8,18.3
90,32,18.3,18.1,23.7,18.3
100,34.4,18.3,18.1,24.9,18.3
110,36.2,18.4,18.3,26.2,18.5
120,38.1,18.5,18.3,27.3,18.5
130,39.2,18.5,18.2,28.4,18.4
140,41,18.3,18.1,29.5,18.3
150,42.2,18.2,18,30.3,18.2
160,43,18.2,18,31.1,18.2
170,44.1,18.2,17.9,31.8,18.2
180,44.5,18.2,18,32.8,18.2
190,46.1,18.4,18.1,33.7,18.5
200,46.9,18.8,18.4,34.7,18.8
210,47.6,18.9,18.4,35.4,18.7
220,47.7,18.5,18,35.8,18.4
230,48.7,18.5,18.1,36.2,18.5
240,49.5,18.7,18.3,36.7,18.7
250,49.9,18.8,18.4,37.4,18.8
260,50.3,18.9,18.4,37.9,18.8
270,50.3,18.8,18.2,37.9,18.6
280,50.9,19.2,18.5,38.8,18.9
290,51,19,18.6,38.8,19
300,51.1,19,18.4,39.1,18.9
310,51.6,19,18.3,39.3,18.8
320,52.3,19.4,18.6,40,19.1
330,52.2,19.3,18.5,40.2,19
340,52.3,19.4,18.4,40.5,19
350,52.4,19.4,18.4,40.7,19
360,52.4,19.3,18.4,40.8,19
370,52.9,19.3,18.4,41,19
380,53,19.6,18.3,41.4,19
390,53.1,19.5,18.2,41.3,18.9
400,53.1,19.5,18.2,41.9,19
410,53.8,20.1,18.7,42.6,19.5
420,53.8,19.9,18.6,42.9,19.6
430,54,19.9,18.4,42.9,19.4
440,54.3,19.9,18.4,43.2,19.3
450,54.3,20,18.4,43.5,19.3
460,54.7,20.2,18.5,43.9,19.5
470,54.7,20.3,18.7,44.1,19.7
480,54.4,20.3,18.6,44,19.6
490,54.8,20.7,18.8,44.6,19.9
500,54.6,20.5,18.6,44.6,19.7
510,54.6,20.5,18.5,44.8,19.6
520,54.9,20.7,18.6,45.3,19.8
530,55.2,20.9,18.7,45.6,20
540,55.3,21.1,18.7,45.7,20
550,55.6,21.2,18.8,45.6,20.1
560,56,21.2,18.8,45.8,20.2
570,56.5,21.5,18.9,46.5,20.4
580,56.3,21.6,18.9,46.6,20.5
590,55.7,21.2,18.5,46.2,20
600,55.7,21.4,18.7,46.3,20.2
610,55.6,21.7,18.8,46.8,20.4
620,55.8,21.4,18.6,46.4,20.2
630,56.3,21.5,18.6,46.5,20.2
640,56.7,21.7,18.8,46.6,20.5
650,56.3,21.8,18.9,46.8,20.7
660,55.9,21.6,18.6,47.1,20.5
670,56.1,21.6,18.7,47.3,20.6
680,56.8,22,19.1,47.4,21
690,56.7,21.7,18.8,47.1,20.7
700,57.3,21.9,18.9,47.6,20.9
710,57.3,21.7,18.7,47.3,20.8
720,57.3,22.1,19,47.8,21.1
730,57.2,21.9,18.8,47.5,21
740,57,21.8,18.6,47.6,20.8
750,57.2,21.9,18.6,47.6,20.8
760,57.2,22.1,18.7,47.7,20.9
770,57.2,22.1,18.7,48,21
780,57.9,22.3,18.8,48.1,21.2
790,58.1,22.7,19.1,48.8,21.7
800,57.9,22.3,18.8,48.3,21.3
810,57.9,22.4,18.8,48.4,21.4
820,58.1,22.6,19,48.8,21.6
830,57.8,22.5,18.8,49,21.5
840,57.4,22.6,18.8,49.1,21.5
850,57.8,23,19.1,49.4,21.9
860,57.6,22.7,18.8,49.1,21.6
870,57.9,23,19,49.3,21.8
880,58.2,23.3,19.2,49.6,22.1
890,57.7,23,18.9,49.4,21.8
900,57.9,23.2,19,49.4,21.9
